Политика,Официальная церемония отъезда премьер-министра Моди из Москвы,https://ria.ru/20240709/modi-1958560074.html,
Политика,Отношения России и Индии остаются важной опорой глобального мира,https://ria.ru/20240709/zayavlenie-1958582506.html,"РФ и Индия заявили, что отношения стран остаются опорой глобального мира"
В мире,Захарова прокомментировала рестрикции Черногории в отношении российских СМИ,https://ria.ru/20240709/zakharova-1958610522.html,Захарова: Россия ответит на рестрикции Черногории в отношении российских СМИ
В мире,Орбан прибыл в Вашингтон на саммит НАТО,https://ria.ru/20240709/orban-1958609536.html,"Орбан прибыл в США, где примет участие в саммите НАТО и проведет ряд встреч"
Экономика,РЭЦ оказал поддержку омскому экспортеру молочных консервов и сухого молока,https://ria.ru/20240709/podderzhka-1958596028.html,
Экономика,Россия пригласила индийских инвесторов в высокотехнологичные проекты ДФО,https://ria.ru/20240709/zayavlenie-1958595753.html,Россия приглашает индийских инвесторов к реализации проектов на Дальнем Востоке
Общество,Как встать на биржу труда в 2024 году: пошаговая инструкция,https://ria.ru/20240709/bezrabotnye-1599982658.html,
Общество,"Банкротство физических лиц в 2024 году: порядок, стоимость и последствия",https://ria.ru/20240709/bankrotstvo-1600141843.html,
Происшествия,Навальной грозит до шести лет лишения свободы,https://ria.ru/20240709/navalnaja-1958609804.html,Навальной грозит от 2 до 6 лет лишения свободы за участие в экстремизме
Происшествия,В доме экс-депутата Драганова прошли обыски,https://ria.ru/20240709/draganov-1958607593.html,В подмосковном Красногорске прошли обыски в доме экс-депутата Валерия Драганова
